Rank,Team,Tournaments Participated,Matches Played,Won,Drawn,Lost,Goals scored,Goals conceded,Goal difference,Total points
1,Germany,14,54,28,13,13,83,56,+27,97
2,Italy,10,45,21,18,6,52,31,+21,81
3,Spain,11,46,21,15,10,68,42,+26,78
4,France,10,43,21,12,10,69,50,+19,75
5,Netherlands,10,39,20,8,11,65,41,+24,68
6,Portugal,8,39,19,10,10,56,38,+18,67
7,England,10,38,15,13,10,51,37,+14,58
8,Czech Republic,10,37,15,7,15,48,47,+1,52
9,Russia,12,36,13,7,16,40,52,−12,46
10,Denmark,9,33,10,6,17,42,50,−8,36
11,Belgium,6,22,11,2,9,31,28,+3,35
12,Croatia,6,22,9,6,7,30,28,+2,33
13,Sweden,7,24,7,7,10,30,28,+2,28
14,Slovakia,5,15,5,4,6,17,23,−6,19
15,Greece,4,16,5,3,8,14,20,−6,18
16,Switzerland,5,18,3,8,7,16,24,−8,17
17,Wales,2,10,5,1,4,13,12,+1,16
18,Turkey,5,18,4,2,12,14,30,−16,14
19,Poland,4,14,2,7,5,11,15,−4,13
20,Serbia,5,14,3,2,9,22,39,−17,11
21,Hungary,4,11,2,4,5,14,20,−6,10
22,Ukraine,3,11,3,0,8,8,19,−11,9
23,Iceland,1,5,2,2,1,8,9,−1,8
24,Austria,3,10,2,2,6,7,12,−5,8
25,Scotland,4,10,2,2,6,6,15,−9,8
26,Romania,5,16,1,5,10,10,21,−11,8
27,Republic of Ireland,3,10,2,2,6,6,17,−11,8
28,Norway,1,3,1,1,1,1,1,0,4
29,Bulgaria,2,6,1,1,4,4,13,−9,4
30,Northern Ireland,1,4,1,0,3,2,3,−1,3
31,Albania,1,3,1,0,2,1,3,−2,3
32,Finland,1,3,1,0,2,1,3,−2,3
33,Slovenia,1,3,0,2,1,4,5,−1,2
34,Latvia,1,3,0,1,2,1,5,−4,1
35,North Macedonia,1,3,0,0,3,2,8,−6,0
